platform,creator_handle,channel_id,tier,country,video_id,title,published_at,content_format,subscriber_count,channel_total_views,view_count,like_count,comment_count,duration_sec,engagement_rate,view_sub_ratio,watch_time_index,tags,campaign,brand,published_date
YouTube,JamieGenevieve,UCnUYZLuoy1rq1aVMwx4aTzw,Mid,Unknown,oWJPu3yvfp8,Modernizing the Pinterest carousel: 90% less code with native CSS,2026-03-17T21:17:50Z,Vlog/Other,810000,834206263,878739,560,33,161,0.00073,1.0849,0.0196,"Chrome|Developers|Google|Web|pr_pr: Chrome;|Purpose: Influence;|ct: ;
type: gds:Please Select|Pinterest Engineering|Web Development|CSS Carousel",GlowMetric_Q1_2025,GlowMetric,2026-03-17
YouTube,JamieGenevieve,UCnUYZLuoy1rq1aVMwx4aTzw,Mid,Unknown,4x1fl67d_Ag,Start using MCP in DevTools today!,2026-01-29T19:54:23Z,Short,810000,834206263,2224,38,3,37,5e-05,0.0027,0.0003,Chrome|Developers|Google|Web|ct: AIG;|pr_pr: Chrome for Developers;|gds:Yes;|Video Type:Excerpt;,GlowMetric_Q1_2025,GlowMetric,2026-01-29
YouTube,JamieGenevieve,UCnUYZLuoy1rq1aVMwx4aTzw,Mid,Unknown,YN04nNsg_L4,Web AI use cases and strategies in the real world,2025-05-22T03:10:21Z,Vlog/Other,810000,834206263,13115,138,3,1601,0.00017,0.0162,0.0454,pr_pr: Google I/O;|ct:Event - Technical Session;|ct:Stack - Web;|ct:Stack - AI;,GlowMetric_Q1_2025,GlowMetric,2025-05-22
YouTube,JamieGenevieve,UCnUYZLuoy1rq1aVMwx4aTzw,Mid,Unknown,yORy1IEHDKk,Dialog over a popover #CSSPodcast,2024-06-11T21:00:39Z,Short,810000,834206263,2516,72,1,35,9e-05,0.0031,0.0005,Chrome|Developers|Google|Web|pr_pr: Chrome;|Campaign: CD: The CSS Podcast;|gds:Yes;|popover API and dialog element|when to use popover API|when to use dialog element,GlowMetric_Q1_2025,GlowMetric,2024-06-11
